title,year,dateLabel,description,category,mainImage,gallery,imageAlt,imageCaption,layoutType,featured,stat,statDescription,quote,quoteSource,linkUrl,linkLabel,sortOrder,published
Justice League Receives Local Media Attention,2022,October 2022,"The Lansing State Journal published a front page article describing JLGLM's mission, leadership, and early financial contributions from area churches.",Public education,,,,,quote-image,true,,,"Education about reparations will continue beyond the $1 million goal.",Lansing State Journal,https://www.lansingcitypulse.com,View Article,10,true
First Public Presentation,2022,October 14-15 2022,"JLGLM hosted Rev. Jimmie R. Hawkins for book discussions and signings at Socialight Society and the Downtown Capital Area District Library. These events introduced its reparations framework to the community.",Public education,,,,,standard,false,,,,,,,20,true
Apology at Lansing Reachout Christian Center,2023,January 2023,"JLGLM coordinated a public apology and reparations event at Lansing Reachout Christian Center, linking repentance with structural action and civic public witness.",Faith partnerships,,,,,quote-image,true,,,"An apology frees and liberates both groups.",Justice League public remarks,,,30,true
First Presbyterian Church of Holt Joins,2023,April 2023,"First Presbyterian Church of Holt pledged $20,000 to support the Justice League's reparations work as an expression of faith, repentance, and hope.",Faith partnerships,,,,,image-stat,false,$20000,Church reparations pledge,,,,,40,true
Quaker Meeting in Lansing Joins,2023,May 2023,"Red Cedar Friends Meeting made a $7,000 payment at the end of its fiscal year and hoped to continue annual payments.",Faith partnerships,,,,,image-stat,false,$7000,Initial reparations payment,,,,,50,true
Second Public Apology at the Capitol,2023,June 19-20 2023,"Faith leaders and community members gathered on the Capitol lawn for a Juneteenth apology based on the PC(USA) litany of repentance. State Senator Sarah Anthony welcomed those gathered.",Public education,,,,,quote-image,true,,,"This work is about repair. It is not charity, it is a moral response to a historic harm.",Justice League public remarks,,,60,true
Edgewood United Church Contributes,2023,August 2023,"Edgewood United Church committed endowment and individual resources to reparations, reporting a total payment of $173,260.",Faith partnerships,,,,,image-stat,true,$173260,Total reparation payment,,,,,70,true
All Saints Episcopal Church Contributes,2023,August 2023,"All Saints Episcopal Church in East Lansing presented $130,470.62 to JLGLM, one of the League's largest single congregational gifts.",Faith partnerships,,,,,image-stat,true,$130470.62,Congregational gift,,,,,80,true
Coalition Growth and Press Attention,2023,September 2023,"Regional media described JLGLM's development into a maturing multi-church fund structure and highlighted the move from acknowledgment of harm to tangible repair.",Public education,,,,,standard,false,,,,,,,90,true
Local United Nations Association Honors Ms. Bryan,2023,October 2023,"The United Nations Association-USA Greater Lansing Chapter honored Ms. Willye Bryan as a 2023 Global Goals Local Leader, linking the model to global goals on poverty, education, inequality, and justice.",Recognition,,,,,quote-image,false,,,"My life has been shaped by segregation. That history shaped my commitment to stand in the breach and insist on repair.",Ms. Willye Bryan,https://patch.com,View Article,100,true
